Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q18007	ACM1_CAEEL	reviewed	Probable muscarinic acetylcholine receptor gar-1 (G-protein-linked acetylcholine receptor 1)	gar-1 C15B12.5	Caenorhabditis elegans	713
Q09388	ACM2_CAEEL	reviewed	Probable muscarinic acetylcholine receptor gar-2 (G-protein-linked acetylcholine receptor 2)	gar-2 F47D12.1/F47D12.2	Caenorhabditis elegans	627
Q9U7D5	ACM3_CAEEL	reviewed	Muscarinic acetylcholine receptor gar-3 (G-protein-linked acetylcholine receptor 3)	gar-3 Y40H4A.1	Caenorhabditis elegans	611
Q8T8B9	ACMSD_CAEEL	reviewed	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45) (Picolinate carboxylase)	acmsd Y71D11A.3	Caenorhabditis elegans	401
Q18581	ACN1_CAEEL	reviewed	Inactive angiotensin-converting enzyme-related protein (ACE-like non-metallopeptidase protein 1)	acn-1 C42D8.5	Caenorhabditis elegans	906
Q23500	ACOC_CAEEL	reviewed	Probable cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Gex-3-interacting protein 22)	aco-1 gei-22 ZK455.1	Caenorhabditis elegans	887
P34455	ACON_CAEEL	reviewed	Probable aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)	aco-2 F54H12.1	Caenorhabditis elegans	777
P34355	ACOX_CAEEL	reviewed	Probable peroxisomal acyl-coenzyme A oxidase (AOX) (Acyl-CoA oxidase) (EC 1.3.3.6)	C48B4.1	Caenorhabditis elegans	659
Q23534	ACP1_CAEEL	reviewed	Putative acid phosphatase 1 (EC 3.1.3.2)	apc-1 ZK563.6	Caenorhabditis elegans	426
P48182	ACR2_CAEEL	reviewed	Acetylcholine receptor subunit beta-type acr-2	acr-2 K11G12.2	Caenorhabditis elegans	575
Q93149	ACR3_CAEEL	reviewed	Acetylcholine receptor subunit beta-type acr-3	acr-3 K11G12.7	Caenorhabditis elegans	487
P45963	ACR7_CAEEL	reviewed	Acetylcholine receptor subunit alpha-type acr-7	acr-7 T09A5.3	Caenorhabditis elegans	538
P54246	ACR5_CAEEL	reviewed	Acetylcholine receptor subunit alpha-type acr-5	acr-5 K03F8.2	Caenorhabditis elegans	598
P0DM41	ACT1_CAEEL	reviewed	Actin-1	act-1 T04C12.6	Caenorhabditis elegans	376
P10984	ACT2_CAEEL	reviewed	Actin-2	act-2 T04C12.5	Caenorhabditis elegans	376
P0DM42	ACT3_CAEEL	reviewed	Actin-3	act-3 T04C12.4	Caenorhabditis elegans	376
P10986	ACT4_CAEEL	reviewed	Actin-4	act-4 M03F4.2	Caenorhabditis elegans	376
Q8IG39	ADAL_CAEEL	reviewed	Adenosine deaminase-like protein (EC 3.5.4.-)	C44B7.12	Caenorhabditis elegans	388
O45218	ADAS_CAEEL	reviewed	Alkyldihydroxyacetonephosphate synthase (Alkyl-DHAP synthase) (EC 2.5.1.26) (Alkylglycerone-phosphate synthase)	ads-1 Y50D7A.7	Caenorhabditis elegans	597
Q20952	ADD2_CAEEL	reviewed	Adducin-related protein 2	add-2 F57F5.4	Caenorhabditis elegans	611
Q9U9K0	ADD1_CAEEL	reviewed	Adducin-related protein 1	add-1 F39C12.2	Caenorhabditis elegans	732
Q07750	ADF1_CAEEL	reviewed	Actin-depolymerizing factor 1, isoforms a/b (Uncoordinated protein 60)	unc-60 C38C3.5	Caenorhabditis elegans	212
Q07749	ADF2_CAEEL	reviewed	Actin-depolymerizing factor 2, isoform c (Uncoordinated protein 60)	unc-60 C38C3.5	Caenorhabditis elegans	152
Q17334	ADH1_CAEEL	reviewed	Alcohol dehydrogenase 1 (EC 1.1.1.1) (Sorbitol dehydrogenase family protein 1)	sodh-1 K12G11.3	Caenorhabditis elegans	349
O45687	ADH2_CAEEL	reviewed	Alcohol dehydrogenase 2 (EC 1.1.1.1) (Sorbitol dehydrogenase family protein 2)	sodh-2 K12G11.4	Caenorhabditis elegans	351
Q17335	ADHX_CAEEL	reviewed	Alcohol dehydrogenase class-3 (EC 1.1.1.1) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-) (S-(hydroxymethyl)glutathione dehydrogenase) (EC 1.1.1.284)	H24K24.3	Caenorhabditis elegans	384
Q86S40	ADPGK_CAEEL	reviewed	Probable ADP-dependent glucokinase (ADP-GK) (ADPGK) (EC 2.7.1.147)	C50D2.7	Caenorhabditis elegans	502
Q22618	ADR2_CAEEL	reviewed	Probable double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.-)	adr-2 T20H4.4	Caenorhabditis elegans	495
Q94177	ADRL_CAEEL	reviewed	Progestin and adipoQ receptor-like protein 1	paqr-1 C43G2.1	Caenorhabditis elegans	434
Q09289	ADRM1_CAEEL	reviewed	Proteasomal ubiquitin receptor ADRM1 homolog	C56G2.7	Caenorhabditis elegans	374
G5EGL9	AFF1_CAEEL	reviewed	Cell fusion protein aff-1 (Anchor cell fusion failure protein 1)	aff-1 C44B7.3	Caenorhabditis elegans	589
Q94125	AGE1_CAEEL	reviewed	Phosphatidylinositol 3-kinase age-1 (PI3-kinase age-1) (PI3K age-1) (PtdIns-3-kinase age-1) (EC 2.7.1.137) (Aging alteration protein 1)	age-1 B0334.8	Caenorhabditis elegans	1182
P91408	AGT2L_CAEEL	reviewed	Alanine--glyoxylate aminotransferase 2-like (EC 2.6.1.-)	T01B11.2	Caenorhabditis elegans	467
O02219	AHA1_CAEEL	reviewed	Aryl hydrocarbon receptor nuclear translocator homolog (ARNT) (AHR-associated protein)	aha-1 C25A1.11	Caenorhabditis elegans	453
O44712	AHR_CAEEL	reviewed	Aryl hydrocarbon receptor protein 1	ahr-1 C41G7.5	Caenorhabditis elegans	602
O01427	AIR2_CAEEL	reviewed	Aurora/IPL1-related protein kinase 2 (EC 2.7.11.1) (Serine/threonine-protein kinase aurora-B)	air-2 stu-7 B0207.4	Caenorhabditis elegans	305
Q17941	AKT1_CAEEL	reviewed	Serine/threonine-protein kinase akt-1 (EC 2.7.11.1) (Protein kinase B akt-1) (PKB akt-1)	akt-1 C12D8.10	Caenorhabditis elegans	541
Q9XTG7	AKT2_CAEEL	reviewed	Serine/threonine-protein kinase akt-2 (EC 2.7.11.1) (Protein kinase B akt-2) (PKB akt-2)	akt-2 F28H6.1	Caenorhabditis elegans	528
P46562	AL7A1_CAEEL	reviewed	Putative aldehyde dehydrogenase family 7 member A1 homolog (EC 1.2.1.3) (ALH-9)	alh-9 F01F1.6	Caenorhabditis elegans	531
P54216	ALF1_CAEEL	reviewed	Fructose-bisphosphate aldolase 1 (EC 4.1.2.13) (Aldolase CE-1) (CE1)	aldo-1 T05D4.1	Caenorhabditis elegans	366
P46563	ALF2_CAEEL	reviewed	Fructose-bisphosphate aldolase 2 (EC 4.1.2.13) (Aldolase CE-2) (CE2)	aldo-2 F01F1.12	Caenorhabditis elegans	366
Q23361	ALG12_CAEEL	reviewed	Probable Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase (EC 2.4.1.260) (Asparagine-linked glycosylation protein 12 homolog) (Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichyl-alpha-1,6-mannosyltransferase) (Mannosyltransferase ALG12 homolog)	ZC513.5	Caenorhabditis elegans	492
Q09226	ALG6_CAEEL	reviewed	Probable dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.267) (Asparagine-linked glycosylation protein 6 homolog) (Dol-P-Glc:Man(9)GlcNAc(2)-PP-Dol alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Man9GlcNAc2-PP-dolichyl glucosyltransferase)	C08B11.8	Caenorhabditis elegans	503
P52887	ALG8_CAEEL	reviewed	Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.265) (Asparagine-linked glycosylation protein 8 homolog) (Dol-P-Glc:Glc(1)Man(9)GlcNAc(2)-PP-dolichyl alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichyl glucosyltransferase)	C08H9.3	Caenorhabditis elegans	766
P54889	ALH13_CAEEL	reviewed	Probable delta-1-pyrroline-5-carboxylate synthase (P5CS) [Includes: Glutamate 5-kinase (GK) (EC 2.7.2.11) (Gamma-glutamyl kinase); Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Aldehyde dehydrogenase family 13) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)]	alh-13 T22H6.2	Caenorhabditis elegans	802
O17554	ALKMO_CAEEL	reviewed	Alkylglycerol monooxygenase homolog (Transmembrane protein 195 homolog)	BE10.2	Caenorhabditis elegans	505
P34552	ALXA_CAEEL	reviewed	Apoptosis-linked gene 2-interacting protein X 1 (Prion-like-(Q/N-rich) domain-bearing protein 58) (Protein YNK1)	alx-1 pqn-58 R10E12.1	Caenorhabditis elegans	882
P83388	AMDL_CAEEL	reviewed	Probable peptidyl-glycine alpha-amidating monooxygenase T19B4.1 (PAM) [Includes: Probable peptidylglycine alpha-hydroxylating monooxygenase (PHM) (EC 1.14.17.3); Probable peptidyl-alpha-hydroxyglycine alpha-amidating lyase (EC 4.3.2.5) (Peptidylamidoglycolate lyase) (PAL)]	T19B4.1	Caenorhabditis elegans	663
Q22004	AMERL_CAEEL	reviewed	Uncharacterized protein R166.3	R166.3	Caenorhabditis elegans	200
P34629	AMPL_CAEEL	reviewed	Leucine aminopeptidase 1 (EC 3.4.11.1)	lap-1 ZK353.6	Caenorhabditis elegans	491
Q20605	AMT2_CAEEL	reviewed	Putative ammonium transporter 2	amt-2 F49E11.3	Caenorhabditis elegans	515
P54145	AMT1_CAEEL	reviewed	Putative ammonium transporter 1	amt-1 C05E11.4	Caenorhabditis elegans	534
Q21565	AMT3_CAEEL	reviewed	Putative ammonium transporter 3	amt-3 M195.3	Caenorhabditis elegans	687
Q21988	AMX1_CAEEL	reviewed	Amine oxidase family member 1	amx-1 R13G10.2	Caenorhabditis elegans	824
O62220	AN321_CAEEL	reviewed	Acidic leucine-rich nuclear phosphoprotein 32-related protein 1 (ANP32/acidic nuclear phosphoprotein-like protein 1)	F33H2.3	Caenorhabditis elegans	229
O01615	AN322_CAEEL	reviewed	Acidic leucine-rich nuclear phosphoprotein 32-related protein 2 (ANP32/acidic nuclear phosphoprotein-like protein 2)	T19H12.2	Caenorhabditis elegans	225
Q9N4M4	ANC1_CAEEL	reviewed	Nuclear anchorage protein 1 (Anchorage 1 protein) (Nesprin homolog)	anc-1 ZK973.6	Caenorhabditis elegans	8545
Q9XTT4	ANI1_CAEEL	reviewed	Anillin-like protein 1	ani-1 Y49E10.19	Caenorhabditis elegans	1159
Q9XWN6	ANI3_CAEEL	reviewed	Anillin-like protein 3	ani-3 Y43F8C.14	Caenorhabditis elegans	709
Q09994	ANI2_CAEEL	reviewed	Anillin-like protein 2	ani-2 K10B2.5	Caenorhabditis elegans	1009
Q21920	ANKHM_CAEEL	reviewed	Ankyrin repeat and KH domain-containing protein R11A8.7	R11A8.7	Caenorhabditis elegans	2620
H2KZB2	ANKL2_CAEEL	reviewed	Ankyrin repeat and LEM domain-containing protein 2 homolog (LEM domain-containing protein 4-like)	lem-4 lem-4l Y55F3BR.8	Caenorhabditis elegans	603
P46580	ANM5_CAEEL	reviewed	Protein arginine N-methyltransferase 5 (EC 2.1.1.125)	prmt-5 tag-251 C34E10.5	Caenorhabditis elegans	734
Q9XW42	ANM7_CAEEL	reviewed	Protein arginine N-methyltransferase 7 (EC 2.1.1.-)	prmt-7 pmrt-2 W06D4.4	Caenorhabditis elegans	647
P35602	AP1M_CAEEL	reviewed	AP-1 complex subunit mu-1-I (Clathrin assembly protein complex 1 mu-1-I medium chain) (Clathrin coat assembly protein AP47) (Clathrin coat-associated protein AP47) (Golgi adaptor AP-1 47 kDa protein) (HA1 47 kDa subunit) (Mu1-I-adaptin) (Uncoordinated protein 101)	unc-101 K11D2.3	Caenorhabditis elegans	422
P35603	AP2M_CAEEL	reviewed	AP-2 complex subunit mu (Clathrin assembly protein complex 2 mu medium chain) (Clathrin coat assembly protein AP50) (Clathrin coat-associated protein AP50) (Mu2-adaptin) (Plasma membrane adaptor AP-2 50 kDa protein) (Protein dumpy-23)	dpy-23 ap50 R160.1	Caenorhabditis elegans	441
Q9U2M7	AP4A_CAEEL	reviewed	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical] (EC 3.6.1.-) (Diadenosine 5',5'''-P1,P4-tetraphosphate asymmetrical hydrolase) (Ap4A hydrolase) (Ap4Aase) (Diadenosine tetraphosphatase) (Nudix hydrolase 4)	ndx-4 Y37H9A.6	Caenorhabditis elegans	138
P34514	APC2_CAEEL	reviewed	Anaphase-promoting complex subunit 2 (APC2) (Cyclosome subunit 2)	apc-2 K06H7.6/K06H7.5	Caenorhabditis elegans	731
O45876	APH1_CAEEL	reviewed	Gamma-secretase subunit aph-1 (Anterior-pharynx-defective protein 1) (Presenilin enhancer protein 1)	aph-1 pen-1 VF36H2L.1	Caenorhabditis elegans	308
Q10002	APN1_CAEEL	reviewed	DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18) (Apurinic-apyrimidinic endonuclease) (AP endonuclease)	apn-1 T05H10.2	Caenorhabditis elegans	396
Q8MYM9	APOP1_CAEEL	reviewed	APOPT family protein Y39B6A.34, mitochondrial	Y39B6A.34	Caenorhabditis elegans	142
Q21227	APR1_CAEEL	reviewed	Adenomatous polyposis coli protein-related protein 1 (APC-related protein 1)	apr-1 K04G2.8	Caenorhabditis elegans	1188
P91455	APT_CAEEL	reviewed	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	T19B4.3	Caenorhabditis elegans	185
P41990	APX1_CAEEL	reviewed	Anterior pharynx in excess protein 1	apx-1 K08D9.3	Caenorhabditis elegans	515
Q09369	AQP10_CAEEL	reviewed	Putative aquaporin-10	aqp-10 ZK1321.3	Caenorhabditis elegans	280
Q9TZN1	ARCH_CAEEL	reviewed	Protein archease-like	C43H8.1	Caenorhabditis elegans	155
P30647	ARD15_CAEEL	reviewed	Arrestin domain-containing protein 15	arrd-15 ZK643.1	Caenorhabditis elegans	374
Q10943	ARF12_CAEEL	reviewed	ADP-ribosylation factor 1-like 2 (ADP-ribosylation factor-related protein 1.2)	arf-1.2 arf-1 B0336.2	Caenorhabditis elegans	181
Q94231	ARF11_CAEEL	reviewed	ADP-ribosylation factor 1-like 1 (ADP-ribosylation factor-like protein 6) (ADP-ribosylation factor-related protein 1.1)	arf-1.1 arl-6 F45E4.1	Caenorhabditis elegans	179
Q22431	ARI2_CAEEL	reviewed	Probable protein ariadne-2 (Ari-2)	T12E12.1	Caenorhabditis elegans	482
Q20758	ARL1_CAEEL	reviewed	ADP-ribosylation factor-like protein 1	arl-1 F54C9.10	Caenorhabditis elegans	180
Q19705	ARL2_CAEEL	reviewed	ADP-ribosylation factor-like protein 2 (Abnormal eversion of vulva protein 20)	evl-20 arl-2 F22B5.1	Caenorhabditis elegans	184
H2L0N8	ARL13_CAEEL	reviewed	ADP-ribosylation factor-like protein 13B (ADP-ribosylation factor-like protein 13)	arl-13 Y37E3.5	Caenorhabditis elegans	370
O45379	ARL3_CAEEL	reviewed	ADP-ribosylation factor-like protein 3	arl-3 F19H8.3	Caenorhabditis elegans	184
Q18510	ARL6_CAEEL	reviewed	ADP-ribosylation factor-like protein 6	arl-6 C38D4.8	Caenorhabditis elegans	190
P34212	ARL5_CAEEL	reviewed	ADP-ribosylation factor-like protein 5	arl-5 ZK632.8	Caenorhabditis elegans	178
Q9N3B0	ARMET_CAEEL	reviewed	MANF/CDNF-like protein (ARMET-like protein)	Y54G2A.23	Caenorhabditis elegans	168
P53489	ARP2_CAEEL	reviewed	Actin-related protein 2 (Actin-like protein 2) (Actin-like protein C)	arx-2 actc K07C5.1	Caenorhabditis elegans	395
Q9N4I0	ARP3_CAEEL	reviewed	Actin-related protein 3 (Actin-like protein 3)	arx-1 Y71F9AL.16	Caenorhabditis elegans	425
Q09443	ARP6_CAEEL	reviewed	Actin-like protein C08B11.6	arp-6 C08B11.6	Caenorhabditis elegans	418
Q8WTM6	ARPC2_CAEEL	reviewed	Probable actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)	arx-4 Y6D11A.2	Caenorhabditis elegans	301
Q9XWV3	ARPC3_CAEEL	reviewed	Probable actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit) (p21-ARC)	arx-5 Y37D8A.1	Caenorhabditis elegans	183
P91167	ARPC5_CAEEL	reviewed	Probable actin-related protein 2/3 complex subunit 5 (Arp2/3 complex 16 kDa subunit) (p16-ARC)	C46H11.3	Caenorhabditis elegans	146
P58798	ARPC4_CAEEL	reviewed	Probable actin-related protein 2/3 complex subunit 4 (Arp2/3 complex 20 kDa subunit) (p20-ARC)	arx-6 C35D10.16	Caenorhabditis elegans	169
P51485	ARRB_CAEEL	reviewed	Probable beta-arrestin	arr-1 F53H8.2	Caenorhabditis elegans	435
O45686	ASAH1_CAEEL	reviewed	Acid ceramidase (EC 3.5.1.23) (Acylsphingosine amidohydrolase 1)	asah-1 K11D2.2	Caenorhabditis elegans	393
Q17603	ASF1L_CAEEL	reviewed	Probable histone chaperone asf-1-like protein (Anti-silencing function protein 1-like)	asfl-1 C03D6.5	Caenorhabditis elegans	245
Q19326	ASF1_CAEEL	reviewed	Probable histone chaperone asf-1 (Anti-silencing function protein 1)	asf-1 F10G7.3	Caenorhabditis elegans	275
O01635	ASIC1_CAEEL	reviewed	Degenerin-like protein asic-1 (Acid-sensing/amiloride-sensitive ion channel protein 1)	asic-1 ZK770.1	Caenorhabditis elegans	823
Q22851	ASIC2_CAEEL	reviewed	Degenerin-like protein asic-2 (Acid-sensing/amiloride-sensitive ion channel protein 2)	asic-2 T28F4.2	Caenorhabditis elegans	545
Q10916	ASM1_CAEEL	reviewed	Sphingomyelin phosphodiesterase 1 (EC 3.1.4.12) (Acid sphingomyelinase 1)	asm-1 B0252.2	Caenorhabditis elegans	564
Q9UAY4	ASM3_CAEEL	reviewed	Putative sphingomyelin phosphodiesterase asm-3 (EC 3.1.4.12)	asm-3 W03G1.7	Caenorhabditis elegans	589
Q23498	ASM2_CAEEL	reviewed	Sphingomyelin phosphodiesterase 2 (EC 3.1.4.12) (Acid sphingomyelinase 2)	asm-2 ZK455.4	Caenorhabditis elegans	618
P30632	ASNA_CAEEL	reviewed	ATPase asna-1 (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase)	asna-1 tag-205 ZK637.5	Caenorhabditis elegans	342
P55956	ASP3_CAEEL	reviewed	Aspartic protease 3 (EC 3.4.23.-)	asp-3 H22K11.1	Caenorhabditis elegans	398
O01530	ASP6_CAEEL	reviewed	Aspartic protease 6 (EC 3.4.23.-)	asp-6 F21F8.7	Caenorhabditis elegans	389
Q21697	ASPG_CAEEL	reviewed	Putative N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase (EC 3.5.1.26) (Aspartylglucosaminidase) (AGA) (Glycosylasparaginase) (N4-(N-acetyl-beta-glucosaminyl)-L-asparagine amidase) [Cleaved into: Glycosylasparaginase alpha chain; Glycosylasparaginase beta chain]	R04B3.2	Caenorhabditis elegans	363
Q09993	ASTER_CAEEL	reviewed	Protein Asterix	K10B2.4	Caenorhabditis elegans	113
Q93235	AT1B1_CAEEL	reviewed	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)	nkb-1 C17E4.9	Caenorhabditis elegans	320
Q9XUY5	AT1B3_CAEEL	reviewed	Probable sodium/potassium-transporting ATPase subunit beta-3 (Sodium/potassium-dependent ATPase subunit beta-3)	nkb-3 F55F3.3	Caenorhabditis elegans	317
Q9BKS0	AT5G_CAEEL	reviewed	ATP synthase lipid-binding protein, mitochondrial (ATP synthase c subunit) (ATPase protein 9) (ATPase subunit c)	Y82E9BR.3	Caenorhabditis elegans	116
Q20748	ATAD3_CAEEL	reviewed	ATPase family AAA domain-containing protein 3	atad-3 F54B3.3	Caenorhabditis elegans	595
O45100	ATAT1_CAEEL	reviewed	Alpha-tubulin N-acetyltransferase 1 (Alpha-TAT 1) (TAT 1) (EC 2.3.1.108) (Mechanosensory abnormality protein 17)	mec-17 F57H12.7	Caenorhabditis elegans	262
Q23192	ATAT2_CAEEL	reviewed	Alpha-tubulin N-acetyltransferase 2 (Alpha-TAT 2) (TAT 2) (EC 2.3.1.108) (Mec-17 like protein)	atat-2 W06B11.1	Caenorhabditis elegans	263
P34379	ATG13_CAEEL	reviewed	Autophagy-related protein 13 homolog	atg-13 D2007.5	Caenorhabditis elegans	443
P37209	ATIF1_CAEEL	reviewed	ATPase inhibitor mai-1, mitochondrial	mai-1 K10B3.9	Caenorhabditis elegans	88
O44441	ATIF2_CAEEL	reviewed	ATPase inhibitor mai-2, mitochondrial	mai-2 B0546.1	Caenorhabditis elegans	109
Q9N3Q4	ATM_CAEEL	reviewed	Serine/threonine-protein kinase ATM (EC 2.7.11.1)	atm-1 Y48G1BL.2	Caenorhabditis elegans	2378
P34539	ATP5E_CAEEL	reviewed	Putative ATP synthase subunit epsilon, mitochondrial (ATPase subunit epsilon)	R05D3.6; ZC262.5	Caenorhabditis elegans	54
P24888	ATP6_CAEEL	reviewed	ATP synthase subunit a (F-ATPase protein 6)	atp6 MTCE.12	Caenorhabditis elegans	199
Q9XXK1	ATPA_CAEEL	reviewed	ATP synthase subunit alpha, mitochondrial	H28O16.1	Caenorhabditis elegans	538
P46561	ATPB_CAEEL	reviewed	ATP synthase subunit beta, mitochondrial (EC 3.6.3.14)	atp-2 C34E10.6	Caenorhabditis elegans	538
Q09544	ATPD_CAEEL	reviewed	ATP synthase subunit delta, mitochondrial (F-ATPase delta subunit)	F58F12.1	Caenorhabditis elegans	163
