Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P00522	ABL_DROME	reviewed	Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson)	Abl ABL-1 Dash CG4032	Drosophila melanogaster (Fruit fly)	1620
Q24174	ABRU_DROME	reviewed	Protein abrupt (Protein clueless)	ab clu CG43860	Drosophila melanogaster (Fruit fly)	904
Q9VSA3	ACADM_DROME	reviewed	Probable medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7)	CG12262	Drosophila melanogaster (Fruit fly)	419
Q9VIP7	ACASE_DROME	reviewed	Alkaline ceramidase (AlkCDase) (EC 3.5.1.23) (Alkaline N-acylsphingosine amidohydrolase) (Alkaline acylsphingosine deacylase) (Protein brainwashing)	bwa CG13969	Drosophila melanogaster (Fruit fly)	283
P42281	ACBP_DROME	reviewed	Acyl-CoA-binding protein homolog (ACBP) (Diazepam-binding inhibitor homolog) (DBI)	Dbi CG8627	Drosophila melanogaster (Fruit fly)	86
Q9VLJ6	ACER_DROME	reviewed	Angiotensin-converting enzyme-related protein (EC 3.4.15.1)	Acer CG10593	Drosophila melanogaster (Fruit fly)	630
P07140	ACES_DROME	reviewed	Acetylcholinesterase (AChE) (EC 3.1.1.7) [Cleaved into: Acetylcholinesterase 16 kDa subunit; Acetylcholinesterase 55 kDa subunit]	Ace CG17907	Drosophila melanogaster (Fruit fly)	649
Q10714	ACE_DROME	reviewed	Angiotensin-converting enzyme (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II)	Ance Race CG8827	Drosophila melanogaster (Fruit fly)	615
P09478	ACH1_DROME	reviewed	Acetylcholine receptor subunit alpha-like 1 (Nicotinic acetylcholine receptor alpha 1)	nAChRalpha1 Acr96Aa AcrB als nAcRalpha-96Aa CG5610	Drosophila melanogaster (Fruit fly)	567
P17644	ACH2_DROME	reviewed	Acetylcholine receptor subunit alpha-like 2 (Nicotinic acetylcholine receptor alpha 2)	nAChRalpha2 Acr96Ab AcrE nAcRalpha-96Ab sad CG6844	Drosophila melanogaster (Fruit fly)	576
P04755	ACH3_DROME	reviewed	Acetylcholine receptor subunit beta-like 1 (Nicotinic acetylcholine receptor beta 1)	nAChRbeta1 Acr64B AcrD ard nAcRbeta-64B CG11348	Drosophila melanogaster (Fruit fly)	521
P25162	ACH4_DROME	reviewed	Acetylcholine receptor subunit beta-like 2 (Nicotinic acetylcholine receptor beta 2)	nAChRbeta2 Acr96Ac AcrF nAcRbeta-96 SBD CG6798	Drosophila melanogaster (Fruit fly)	519
P16395	ACM1_DROME	reviewed	Muscarinic acetylcholine receptor DM1	mAChR-A AcrC mAcR-60C CG4356	Drosophila melanogaster (Fruit fly)	805
Q7KML2	ACOX1_DROME	reviewed	Probable peroxisomal acyl-coenzyme A oxidase 1 (EC 1.3.3.6)	CG5009	Drosophila melanogaster (Fruit fly)	669
O46204	ACPCG_DROME	reviewed	Accessory gland protein CG15841	CG15841	Drosophila melanogaster (Fruit fly)	43
Q94519	ACPM_DROME	reviewed	Acyl carrier protein, mitochondrial (ACP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit) (NADH-ubiquinone oxidoreductase acyl-carrier subunit)	mtacp1 mtACP ND-AcC CG9160	Drosophila melanogaster (Fruit fly)	152
Q9VP61	ACSA_DROME	reviewed	Acetyl-coenzyme A synthetase (EC 6.2.1.1) (Acetate--CoA ligase) (Acetyl-CoA synthetase) (ACS) (AceCS) (Acyl-activating enzyme)	AcCoAS CG9390	Drosophila melanogaster (Fruit fly)	670
Q9VLL0	ACSF4_DROME	reviewed	Acyl-CoA synthetase family member 4 homolog (EC 6.2.1.-)	U26 CG13401	Drosophila melanogaster (Fruit fly)	1012
P10987	ACT1_DROME	reviewed	Actin-5C	Act5C CG4027	Drosophila melanogaster (Fruit fly)	376
P02572	ACT2_DROME	reviewed	Actin-42A	Act42A CG12051	Drosophila melanogaster (Fruit fly)	376
P53501	ACT3_DROME	reviewed	Actin-57B	Act57B CG10067	Drosophila melanogaster (Fruit fly)	376
P02574	ACT4_DROME	reviewed	Actin, larval muscle (Actin-79B)	Act79B CG7478	Drosophila melanogaster (Fruit fly)	376
P10981	ACT5_DROME	reviewed	Actin-87E	Act87E CG18290	Drosophila melanogaster (Fruit fly)	376
P83967	ACT6_DROME	reviewed	Actin, indirect flight muscle (Actin-88F)	Act88F CG5178	Drosophila melanogaster (Fruit fly)	376
P18091	ACTN_DROME	reviewed	Alpha-actinin, sarcomeric (F-actin cross-linking protein)	Actn fliA l(1)2Cb CG4376	Drosophila melanogaster (Fruit fly)	924
P45891	ACTY_DROME	reviewed	Actin-like protein 53D	Arp53D Actr53D CG5409	Drosophila melanogaster (Fruit fly)	376
P45889	ACTZ_DROME	reviewed	Actin-related protein 1 (Actin-like protein 1) (Actin-like protein 87C)	Arp1 Actr87C Arp87C CG6174	Drosophila melanogaster (Fruit fly)	376
P56544	ACYP1_DROME	reviewed	Acylphosphatase-1 (EC 3.6.1.7) (Acylphosphate phosphohydrolase 1) (AcPDro)	Acyp AcP CG16870	Drosophila melanogaster (Fruit fly)	120
Q9VF36	ACYP2_DROME	reviewed	Acylphosphatase-2 (EC 3.6.1.7) (Acylphosphate phosphohydrolase 2) (AcPDro2)	Acyp2 CG18505	Drosophila melanogaster (Fruit fly)	102
Q9VAC5	ADA17_DROME	reviewed	ADAM 17-like protease (EC 3.4.24.-)	Tace CG7908	Drosophila melanogaster (Fruit fly)	732
Q9VHH7	ADAL_DROME	reviewed	Adenosine deaminase-like protein (EC 3.5.4.-)	Ada CG11994	Drosophila melanogaster (Fruit fly)	337
Q9NII1	ADAR_DROME	reviewed	Double-stranded RNA-specific editase Adar (EC 3.5.-.-) (Adenosine deaminase that act on RNA) (Pre-mRNA adenosine deaminase) (RNA-editing deaminase 1) (RNA-editing enzyme 1) (dADAR) (dsRNA adenosine deaminase)	Adar hypnos-2 CG12598	Drosophila melanogaster (Fruit fly)	676
Q9V778	ADAS_DROME	reviewed	Alkyldihydroxyacetonephosphate synthase (Alkyl-DHAP synthase) (EC 2.5.1.26) (Alkylglycerone-phosphate synthase)	CG10253	Drosophila melanogaster (Fruit fly)	631
Q9V3R6	ADAT1_DROME	reviewed	tRNA-specific adenosine deaminase 1 (EC 3.5.4.34) (dADAT1) (tRNA-specific adenosine-37 deaminase)	adat CG16889	Drosophila melanogaster (Fruit fly)	394
Q9VW60	ADCY2_DROME	reviewed	Adenylate cyclase type 2 (EC 4.6.1.1) (ATP pyrophosphate-lyase 2) (Adenylyl cyclase 76E)	Ac76E CG7978	Drosophila melanogaster (Fruit fly)	1307
P05552	ADF1_DROME	reviewed	Transcription factor Adf-1 (ADH distal factor 1)	Adf1 CG15845	Drosophila melanogaster (Fruit fly)	262
P91615	ADHR_DROME	reviewed	Alcohol dehydrogenase-related 31 kDa protein	Adhr Adh-dup CG3484	Drosophila melanogaster (Fruit fly)	272
P46415	ADHX_DROME	reviewed	Alcohol dehydrogenase class-3 (EC 1.1.1.1) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-) (Octanol dehydrogenase) (EC 1.1.1.73) (S-(hydroxymethyl)glutathione dehydrogenase) (EC 1.1.1.284)	Fdh gfd ODH CG6598	Drosophila melanogaster (Fruit fly)	379
P00334	ADH_DROME	reviewed	Alcohol dehydrogenase (EC 1.1.1.1)	Adh CG3481	Drosophila melanogaster (Fruit fly)	256
Q7K2G1	ADRM1_DROME	reviewed	Proteasomal ubiquitin receptor ADRM1 homolog (Regulatory particle non-ATPase 13 protein) (p42E)	Rpn13 CG13349	Drosophila melanogaster (Fruit fly)	389
Q9VCY8	ADRL_DROME	reviewed	Adiponectin receptor protein	AdipoR CG5315	Drosophila melanogaster (Fruit fly)	444
Q9V3T9	ADRO_DROME	reviewed	NADPH:adrenodoxin oxidoreductase, mitochondrial (AR) (Adrenodoxin reductase) (EC 1.18.1.6) (Ferredoxin--NADP(+) reductase) (Ferredoxin reductase)	dare CG12390	Drosophila melanogaster (Fruit fly)	466
P37193	ADXH_DROME	reviewed	Adrenodoxin-like protein, mitochondrial	Fdxh CG4205	Drosophila melanogaster (Fruit fly)	172
Q26365	ADT_DROME	reviewed	ADP,ATP carrier protein (ADP/ATP translocase) (Adenine nucleotide translocator) (ANT) (Stress-sensitive protein B)	sesB A/A-T CG16944	Drosophila melanogaster (Fruit fly)	312
P39413	AEF1_DROME	reviewed	Adult enhancer factor 1 (AEF-1)	Aef1 CG5683	Drosophila melanogaster (Fruit fly)	308
Q9VQI9	AFF4_DROME	reviewed	AF4/FMR2 family member 4 (Protein lilliputian) (Suppressor of Raf at 2A) (Suppressor of sina 2-1)	lilli l(2)00632 SS2-1 Su(Raf)2A CG8817	Drosophila melanogaster (Fruit fly)	1673
Q9VUQ5	AGO2_DROME	reviewed	Protein argonaute-2	AGO2 CG7439	Drosophila melanogaster (Fruit fly)	1214
Q7PLK0	AGO3_DROME	reviewed	Protein argonaute-3	AGO3 CG40300	Drosophila melanogaster (Fruit fly)	867
Q9VU95	AGT2L_DROME	reviewed	Alanine--glyoxylate aminotransferase 2-like (EC 2.6.1.-)	CG8745	Drosophila melanogaster (Fruit fly)	494
Q9VQ79	AIFM1_DROME	reviewed	Putative apoptosis-inducing factor 1, mitochondrial (DmAIF) (EC 1.1.1.-)	AIF CG7263	Drosophila melanogaster (Fruit fly)	739
Q9VUR3	AIMP2_DROME	reviewed	Probable aminoacyl tRNA synthase complex-interacting multifunctional protein 2 (Probable multisynthase complex auxiliary component p38)	CG12304	Drosophila melanogaster (Fruit fly)	334
Q9VY77	AJUBA_DROME	reviewed	LIM domain-containing protein jub	jub CG11063	Drosophila melanogaster (Fruit fly)	728
P61855	AKH_DROME	reviewed	Adipokinetic hormone (Hypertrehalosaemic hormone) (HRTH) (dAKH)	Akh CG1171	Drosophila melanogaster (Fruit fly)	79
Q9VS59	AKIRN_DROME	reviewed	Akirin (Protein bhringi)	akirin bhr CG8580	Drosophila melanogaster (Fruit fly)	201
Q8INB9	AKT1_DROME	reviewed	RAC serine/threonine-protein kinase (DAkt) (DRAC-PK) (Dakt1) (EC 2.7.11.1) (Akt) (Protein kinase B) (PKB)	Akt1 CG4006	Drosophila melanogaster (Fruit fly)	611
Q7K4V4	AKTP1_DROME	reviewed	Protein crossbronx	cbx CG10536	Drosophila melanogaster (Fruit fly)	244
A1ZBR5	AKTP2_DROME	reviewed	Protein crossbronx-like	CG16894	Drosophila melanogaster (Fruit fly)	266
P07764	ALF_DROME	reviewed	Fructose-bisphosphate aldolase (EC 4.1.2.13)	Ald CG6058	Drosophila melanogaster (Fruit fly)	361
Q8T8L8	ALG10_DROME	reviewed	Putative Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase (EC 2.4.1.256) (Alpha-2-glucosyltransferase ALG10)	Alg10 CG32076	Drosophila melanogaster (Fruit fly)	449
Q9VH78	ALG12_DROME	reviewed	Probable Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase (EC 2.4.1.260) (Asparagine-linked glycosylation protein 12 homolog) (Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichyl-alpha-1,6-mannosyltransferase) (Mannosyltransferase ALG12 homolog)	CG8412	Drosophila melanogaster (Fruit fly)	678
Q9VLQ1	ALG5_DROME	reviewed	Dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117) (Wollknaeuel)	wol alg5 CG7870	Drosophila melanogaster (Fruit fly)	326
Q9VKX7	ALG6_DROME	reviewed	Probable dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase (Dolichyl-P-Glc:Man9GlcNAc2-PP-dolichyl glucosyltransferase) (EC 2.4.1.267) (Asparagine-linked glycosylation protein 6 homolog) (Dol-P-Glc:Man(9)GlcNAc(2)-PP-Dol alpha-1,3-glucosyltransferase)	gny Alg6 CG5091	Drosophila melanogaster (Fruit fly)	475
Q9W3V8	ALG8_DROME	reviewed	Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase (Dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichyl glucosyltransferase) (EC 2.4.1.265) (Asparagine-linked glycosylation protein 8 homolog) (Dol-P-Glc:Glc(1)Man(9)GlcNAc(2)-PP-dolichyl alpha-1,3-glucosyltransferase)	CG4542	Drosophila melanogaster (Fruit fly)	511
Q9VC44	ALLS_DROME	reviewed	Allatostatin-A (Allatostatins Ast) [Cleaved into: Drostatin-1; Drostatin-2; Drostatin-3; Drostatin-4; Drostatin-5]	AstA Ast CG13633	Drosophila melanogaster (Fruit fly)	151
Q06453	AL_DROME	reviewed	Homeobox protein aristaless	al CG3935	Drosophila melanogaster (Fruit fly)	408
P15364	AMAL_DROME	reviewed	Protein amalgam	Ama CG2198	Drosophila melanogaster (Fruit fly)	333
Q24049	AMN_DROME	reviewed	Amnesiac neuropeptides [Cleaved into: Amnesiac peptide 24; Amnesiac peptide 30; Amnesiac peptide 56]	amn CG11937	Drosophila melanogaster (Fruit fly)	180
Q9Y0A7	AMOS_DROME	reviewed	Basic helix-loop-helix transcription factor amos (Absent MD neurons and olfactory sensilla protein) (Amos protein) (Reduced olfactory organs protein) (Rough eye protein)	amos Roi rolo CG10393	Drosophila melanogaster (Fruit fly)	198
Q9U4H5	AMX_DROME	reviewed	TM2 domain-containing protein almondex	amx CG12127	Drosophila melanogaster (Fruit fly)	284
P08144	AMYA_DROME	reviewed	Alpha-amylase A (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	Amy-p AmyA CG18730	Drosophila melanogaster (Fruit fly)	494
P81641	AMYB_DROME	reviewed	Alpha-amylase B (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	Amy-d AmyB CG17876	Drosophila melanogaster (Fruit fly)	494
O18408	AMYR_DROME	reviewed	Alpha-amylase-related protein (EC 3.2.1.1)	Amyrel CG8221	Drosophila melanogaster (Fruit fly)	493
Q9V895	AN32A_DROME	reviewed	Acidic leucine-rich nuclear phosphoprotein 32 family member A	Anp32a Mapmodulin CG5784	Drosophila melanogaster (Fruit fly)	261
Q26307	ANA_DROME	reviewed	Protein anachronism	ana CG8084	Drosophila melanogaster (Fruit fly)	474
P21663	ANDP_DROME	reviewed	Andropin	Anp ANR CG1361	Drosophila melanogaster (Fruit fly)	57
Q24239	ANGEL_DROME	reviewed	Protein angel (Angel 39) (ANG39)	angel CG12273	Drosophila melanogaster (Fruit fly)	354
Q9VCA8	ANKHM_DROME	reviewed	Ankyrin repeat and KH domain-containing protein mask (Multiple ankyrin repeat single KH domain-containing protein)	mask CG33106	Drosophila melanogaster (Fruit fly)	4001
Q9V4P1	ANLN_DROME	reviewed	Actin-binding protein anillin (Actin-binding protein 8) (ABP8) (Protein scraps)	scra ani CG2092	Drosophila melanogaster (Fruit fly)	1239
Q9U6Y9	ANM5_DROME	reviewed	Protein arginine N-methyltransferase 5 (EC 2.1.1.-) (JBP1 homolog) (Protein arginine N-methyltransferase capsuleen)	csul DART5 CG3730	Drosophila melanogaster (Fruit fly)	610
Q9W1V1	ANM7_DROME	reviewed	Protein arginine N-methyltransferase 7 (Dart7) (EC 2.1.1.-)	Art7 CG9882	Drosophila melanogaster (Fruit fly)	690
P02833	ANTP_DROME	reviewed	Homeotic protein antennapedia	Antp CG1028	Drosophila melanogaster (Fruit fly)	378
Q9VXG4	ANX11_DROME	reviewed	Annexin B11	AnxB11 CG9968	Drosophila melanogaster (Fruit fly)	511
P22465	ANX10_DROME	reviewed	Annexin B10 (Annexin X) (Annexin-10)	AnxB10 AnnX CG9579	Drosophila melanogaster (Fruit fly)	321
P22464	ANXB9_DROME	reviewed	Annexin B9 (Annexin IX) (Annexin-9)	AnxB9 AnnIX CG5730	Drosophila melanogaster (Fruit fly)	324
P91926	AP2A_DROME	reviewed	AP-2 complex subunit alpha (Alpha-adaptin)	AP-2alpha CG4260	Drosophila melanogaster (Fruit fly)	940
P54362	AP3D_DROME	reviewed	AP-3 complex subunit delta (Delta adaptin subunit of AP-3) (Delta-adaptin) (Garnet protein)	g CG10986	Drosophila melanogaster (Fruit fly)	1034
Q9V831	APC10_DROME	reviewed	Anaphase-promoting complex subunit 10 (APC10) (Cyclosome subunit 10)	APC10 CG11419	Drosophila melanogaster (Fruit fly)	195
Q9VTU1	APG12_DROME	reviewed	Autophagy protein 12-like (APG12-like)	Atg12 CG10861	Drosophila melanogaster (Fruit fly)	111
Q9VQG2	APH1_DROME	reviewed	Gamma-secretase subunit Aph-1 (Presenilin-stabilization factor)	aph-1 PSF CG2855	Drosophila melanogaster (Fruit fly)	238
Q24238	APH4_DROME	reviewed	Alkaline phosphatase 4 (EC 3.1.3.1)	Aph-4 CG1462	Drosophila melanogaster (Fruit fly)	596
Q9V431	API5_DROME	reviewed	Apoptosis inhibitor 5 homolog (API-5) (Antiapoptosis clone 11 protein homolog) (AAC-11)	Aac11 LD09852 CG6582	Drosophila melanogaster (Fruit fly)	536
A1Z9X0	APKC_DROME	reviewed	Atypical protein kinase C (EC 2.7.11.13)	aPKC CG30475	Drosophila melanogaster (Fruit fly)	606
Q9V496	APLP_DROME	reviewed	Apolipophorins (Retinoid- and fatty acid-binding glycoprotein) [Cleaved into: Apolipophorin-2 (ApoL2) (Apolipophorin II); Apolipophorin-1 (ApoL1) (Apolipophorin I)]	Rfabg RfaBp CG11064	Drosophila melanogaster (Fruit fly)	3351
A8JR14	APLF_DROME	reviewed	Aprataxin and PNK-like factor (EC 4.2.99.18) (Apurinic-apyrimidinic endonuclease APLF)	CG6171	Drosophila melanogaster (Fruit fly)	255
Q9W549	APOP1_DROME	reviewed	APOPT family protein CG14806, mitochondrial	CG14806	Drosophila melanogaster (Fruit fly)	176
P29673	APTE_DROME	reviewed	Protein apterous	ap CG8376	Drosophila melanogaster (Fruit fly)	469
Q8MSG8	APTX_DROME	reviewed	Aprataxin-like protein (EC 3.-.-.-)	CG5316	Drosophila melanogaster (Fruit fly)	662
P12426	APT_DROME	reviewed	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	Aprt CG18315	Drosophila melanogaster (Fruit fly)	182
Q9V5Z7	AQP_DROME	reviewed	Aquaporin	Drip CG9023	Drosophila melanogaster (Fruit fly)	245
Q9VES1	AR6P1_DROME	reviewed	ARL-6-interacting protein 1 homolog	CG10326	Drosophila melanogaster (Fruit fly)	197
Q24248	ARA_DROME	reviewed	Homeobox protein araucan	ara CG10571	Drosophila melanogaster (Fruit fly)	717
Q9VD92	ARCH_DROME	reviewed	Protein archease-like	CG6353	Drosophila melanogaster (Fruit fly)	156
P61209	ARF1_DROME	reviewed	ADP-ribosylation factor 1	Arf79F ARF1 CG8385	Drosophila melanogaster (Fruit fly)	182
P40945	ARF2_DROME	reviewed	ADP-ribosylation factor 2 (dARF II)	Arf102F ARF2 CG11027	Drosophila melanogaster (Fruit fly)	180
P40946	ARF3_DROME	reviewed	ADP-ribosylation factor 3	Arf51F ARF3 CG8156	Drosophila melanogaster (Fruit fly)	175
Q94981	ARI1_DROME	reviewed	Protein ariadne-1 (Ari-1)	ari-1 ari CG5659	Drosophila melanogaster (Fruit fly)	503
O76924	ARI2_DROME	reviewed	Protein ariadne-2 (Ari-2)	ari-2 ari2 TRIAD1 CG5709	Drosophila melanogaster (Fruit fly)	509
P25160	ARL1_DROME	reviewed	ADP-ribosylation factor-like protein 1	Arl1 Arf72A arl CG6025	Drosophila melanogaster (Fruit fly)	180
Q06849	ARL2_DROME	reviewed	ADP-ribosylation factor-like protein 2	Arl2 Arf84F CG7435	Drosophila melanogaster (Fruit fly)	184
Q9VHV5	ARL8_DROME	reviewed	ADP-ribosylation factor-like protein 8 (Novel small G protein indispensable for equal chromosome segregation) (dGie)	Gie Arl8 CG7891	Drosophila melanogaster (Fruit fly)	186
Q7K486	ARMC6_DROME	reviewed	Armadillo repeat-containing protein 6 homolog	CG5721	Drosophila melanogaster (Fruit fly)	464
Q9XZ63	ARMET_DROME	reviewed	Mesencephalic astrocyte-derived neurotrophic factor homolog (DmMANF) (MANF/CDNF-like protein)	Manf ARP-like CG7013	Drosophila melanogaster (Fruit fly)	173
Q6J5K9	ARMI_DROME	reviewed	Probable RNA helicase armi (EC 3.6.4.13) (Protein armitage)	armi CG11513	Drosophila melanogaster (Fruit fly)	1188
P18824	ARM_DROME	reviewed	Armadillo segment polarity protein	arm CG11579	Drosophila melanogaster (Fruit fly)	843
O15945	ARNT_DROME	reviewed	Aryl hydrocarbon receptor nuclear translocator homolog (dARNT) (Hypoxia-inducible factor 1-beta) (Protein tango)	tgo ARNT HIF-1-beta CG11987	Drosophila melanogaster (Fruit fly)	642
P45888	ARP2_DROME	reviewed	Actin-related protein 2 (Actin-like protein 14D) (Actin-like protein 2)	Arp2 Actr14D Arp14D CG9901	Drosophila melanogaster (Fruit fly)	399
P32392	ARP3_DROME	reviewed	Actin-related protein 3 (Actin-2) (Actin-like protein 3) (Actin-like protein 66B)	Arp3 Actr66B Arp66B CG7558	Drosophila melanogaster (Fruit fly)	418
